Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1695285771, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695285772, 1, enp5s0f1, 52807942, 0, 159670, 0, 0, 0, 0, 0
1695285773, 2, enp5s0f1, 45330587, 334, 146414, 1, 0, 0, 0, 0
1695285774, 3, enp5s0f1, 63442150, 0, 179125, 0, 0, 0, 0, 0
1695285775, 4, enp5s0f1, 57587265, 0, 178061, 0, 0, 0, 0, 0
1695285776, 5, enp5s0f1, 69214221, 0, 177369, 0, 0, 0, 0, 0
1695285777, 6, enp5s0f1, 69829848, 0, 159577, 0, 0, 0, 0, 0
1695285778, 7, enp5s0f1, 129579891, 0, 228998, 0, 0, 0, 0, 0
1695285779, 8, enp5s0f1, 48582167, 0, 145704, 0, 0, 0, 0, 0
1695285780, 9, enp5s0f1, 17617897, 0, 98217, 0, 0, 0, 0, 0
1695285781, 10, enp5s0f1, 23389087, 0, 103297, 0, 0, 0, 0, 0
1695285782, 11, enp5s0f1, 30227621, 0, 119809, 0, 0, 0, 0, 0
1695285783, 12, enp5s0f1, 34301695, 0, 132556, 0, 0, 0, 0, 0
1695285784, 13, enp5s0f1, 125926336, 0, 216792, 0, 0, 0, 0, 0
1695285785, 14, enp5s0f1, 84387701, 0, 166912, 0, 0, 0, 0, 0
1695285786, 15, enp5s0f1, 51785034, 0, 142219, 0, 0, 0, 0, 0
1695285787, 16, enp5s0f1, 89573951, 0, 200329, 0, 0, 0, 0, 0
1695285788, 17, enp5s0f1, 148343827, 0, 254886, 0, 0, 0, 0, 0
1695285789, 18, enp5s0f1, 26516664, 0, 125651, 0, 0, 0, 0, 0
1695285790, 19, enp5s0f1, 57360212, 0, 175366, 0, 0, 0, 0, 0
1695285791, 20, enp5s0f1, 51676779, 0, 138930, 0, 0, 0, 0, 0
1695285792, 21, enp5s0f1, 66943657, 0, 181108, 0, 0, 0, 0, 0
