Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1695051978, 0, enp4s0, 0, 0, 0, 0, 0, 0, 0, 0
1695051986, 8, enp4s0, 53077885, 11211, 496425, 79, 0, 0, 0, 0
1695051994, 16, enp4s0, 50727138, 2863, 485045, 37, 0, 0, 0, 0
1695052002, 24, enp4s0, 60676389, 5053, 532629, 49, 0, 0, 0, 0
1695052010, 32, enp4s0, 71818354, 4054, 600425, 43, 0, 0, 0, 0
1695052018, 40, enp4s0, 66936259, 7966, 578317, 43, 0, 0, 0, 0
1695052026, 48, enp4s0, 57843925, 3115, 526085, 43, 0, 0, 0, 0
1695052034, 56, enp4s0, 54066532, 6423, 509333, 49, 0, 0, 0, 0
1695052042, 64, enp4s0, 46913676, 6276, 473139, 31, 0, 0, 0, 0
1695052050, 72, enp4s0, 55778327, 6253, 515159, 68, 0, 0, 0, 0
1695052058, 80, enp4s0, 57944596, 4129, 524689, 42, 0, 0, 0, 0
1695052066, 88, enp4s0, 56587026, 4524, 524293, 35, 0, 0, 0, 0
1695052074, 96, enp4s0, 55187767, 10152, 500163, 74, 0, 0, 0, 0
1695052082, 104, enp4s0, 50760217, 4710, 479933, 39, 0, 0, 0, 0
1695052090, 112, enp4s0, 53363102, 3260, 509280, 26, 0, 0, 0, 0
1695052098, 120, enp4s0, 61380105, 3526, 552195, 38, 0, 0, 0, 0
1695052106, 128, enp4s0, 60266840, 8374, 541072, 57, 0, 0, 0, 0
1695052114, 136, enp4s0, 54135474, 2133, 518848, 29, 0, 0, 0, 0
1695052122, 144, enp4s0, 55811100, 4788, 518192, 48, 0, 0, 0, 0
1695052130, 152, enp4s0, 65379106, 2942, 548150, 31, 0, 0, 0, 0
1695052138, 160, enp4s0, 59913464, 6708, 527427, 36, 0, 0, 0, 0
1695052146, 168, enp4s0, 54069949, 2264, 504984, 30, 0, 0, 0, 0
1695052154, 176, enp4s0, 56896993, 7244, 521822, 64, 0, 0, 0, 0
1695052162, 184, enp4s0, 54465349, 7356, 514798, 49, 0, 0, 0, 0
1695052170, 192, enp4s0, 55429501, 4134, 536211, 52, 0, 0, 0, 0
1695052178, 200, enp4s0, 54229110, 4306, 515600, 51, 0, 0, 0, 0
1695052186, 208, enp4s0, 52012093, 4721, 500525, 45, 0, 0, 0, 0
1695052194, 216, enp4s0, 56974411, 7142, 512263, 47, 0, 0, 0, 0
1695052202, 224, enp4s0, 48851757, 2556, 477604, 36, 0, 0, 0, 0
1695052210, 232, enp4s0, 55380473, 6402, 515306, 73, 0, 0, 0, 0
1695052218, 240, enp4s0, 55869594, 93391, 500015, 201, 0, 0, 0, 0
1695052226, 248, enp4s0, 56180469, 97689, 520512, 178, 0, 0, 0, 0
1695052234, 256, enp4s0, 60304180, 672044, 533025, 652, 0, 0, 0, 0
1695052242, 264, enp4s0, 59621703, 209049, 542259, 277, 0, 0, 0, 0
1695052250, 272, enp4s0, 55442680, 162648, 526447, 204, 0, 0, 0, 0
1695052258, 280, enp4s0, 66077368, 7375, 545237, 46, 0, 0, 0, 0
1695052266, 288, enp4s0, 68253794, 5800, 592259, 61, 0, 0, 0, 0
1695052274, 296, enp4s0, 59411324, 6121, 533429, 47, 0, 0, 0, 0
1695052282, 304, enp4s0, 49022121, 2664, 322797, 31, 0, 0, 0, 0
1695052290, 312, enp4s0, 286, 12201, 3, 61, 0, 0, 0, 0
1695052298, 320, enp4s0, 572, 9470, 6, 72, 0, 0, 0, 0
