Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696267241, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267242, 1, enp5s0f1, 107, 0, 1, 0, 0, 0, 0, 0
1696267243, 2, enp5s0f1, 204, 0, 1, 0, 0, 0, 0, 0
1696267244, 3, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696267245, 4, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267246, 5, enp5s0f1, 437, 0, 2, 0, 0, 0, 0, 0
1696267247, 6, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267248, 7, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267249, 8, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267250, 9, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267251, 10, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267252, 11, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696267253, 12, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267254, 13, enp5s0f1, 437, 0, 2, 0, 0, 0, 0, 0
1696267255, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267256, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267257, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267258, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267259, 18, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267260, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696267261, 20, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
