Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1696882597, 0, 20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1771572, 63079360, 55795332, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882598, 1, 20, 216.0, 5.0, 1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 78.0, 0.0, 88.9, 0.0, 23.5, 0.0, 12.1, 0.0, 1.0, 1.0, 0.0, 1.0, 3.8, 65603184, 1763888, 63087036, 55803008, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882599, 2, 20, 232.0, 0.0, 0.0, 2.0, 0.0, 3.0, 2.0, 1.0, 0.0, 99.0, 1.0, 100.0, 0.0, 17.3, 0.0, 7.8, 0.0, 1.0, 0.0, 0.0, 1.0, 3.8, 65603184, 1759992, 63090928, 55806900, 0.0, 2097148, 0, 2097148, 0, 1, 0, 4, 0, 0
1696882600, 3, 20, 236.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 4.0, 0.0, 100.0, 0.0, 99.0, 0.0, 0.0, 1.0, 20.4, 2.9, 1.0, 1.0, 1.0, 2.0, 3.8, 65603184, 1762500, 63088412, 55804384, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882601, 4, 20, 226.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 20.0, 0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.8, 65603184, 1763752, 63087152, 55803124, 0.0, 2097148, 0, 2097148, 0, 2, 0, 76, 0, 1
1696882602, 5, 20, 194.0, 0.0, 1.0, 0.0, 0.0, 2.0, 0.0, 14.9, 0.0, 84.0, 0.0, 83.8, 0.0, 7.1, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.8, 65603184, 1764756, 63086148, 55802116, 0.0, 2097148, 0, 2097148, 0, 158, 0, 740, 0, 11
1696882603, 6, 20, 8.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1764756, 63086148, 55802116, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882604, 7, 20, 10.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 5.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1764756, 63086148, 55802116, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882605, 8, 20, 10.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 3.8, 65603184, 1765764, 63085140, 55801108, 0.0, 2097148, 0, 2097148, 0, 1, 0, 4, 0, 0
1696882606, 9, 20, 6.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.8, 65603184, 1766260, 63084636, 55800604, 0.0, 2097148, 0, 2097148, 0, 2, 0, 44, 0, 1
1696882607, 10, 20, 8.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 3.8, 65603184, 1766260, 63084636, 55800604, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
