Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1697166024, 0, enp1s0f0, 13892, 0, 34, 0, 0, 0, 0, 0
1697166025, 1, enp1s0f0, 735811589, 0, 1948956, 0, 0, 0, 0, 0
1697166026, 2, enp1s0f0, 943610531, 0, 2186579, 0, 0, 0, 0, 0
1697166027, 3, enp1s0f0, 1070501777, 0, 2169628, 0, 0, 0, 0, 0
1697166028, 4, enp1s0f0, 1051807562, 0, 2209106, 0, 0, 0, 0, 0
1697166029, 5, enp1s0f0, 925927404, 0, 2177165, 0, 0, 0, 0, 0
1697166030, 6, enp1s0f0, 895215240, 0, 2159008, 0, 0, 0, 0, 0
1697166031, 7, enp1s0f0, 1057016461, 0, 2213630, 0, 0, 0, 0, 0
1697166032, 8, enp1s0f0, 995208243, 0, 2198856, 0, 0, 0, 0, 0
1697166033, 9, enp1s0f0, 926138633, 0, 2179422, 0, 0, 0, 0, 0
1697166034, 10, enp1s0f0, 1062056154, 0, 2204297, 0, 0, 0, 0, 0
1697166035, 11, enp1s0f0, 1075789696, 0, 2227868, 0, 0, 0, 0, 0
1697166036, 12, enp1s0f0, 1077906154, 0, 2237913, 0, 0, 0, 0, 0
1697166037, 13, enp1s0f0, 1093850831, 0, 2239276, 0, 0, 0, 0, 0
1697166038, 14, enp1s0f0, 1018284971, 0, 2210654, 0, 0, 0, 0, 0
1697166039, 15, enp1s0f0, 923692724, 0, 2145220, 0, 0, 0, 0, 0
1697166040, 16, enp1s0f0, 831332470, 0, 2124598, 0, 0, 0, 0, 0
1697166041, 17, enp1s0f0, 777984858, 0, 2076990, 0, 0, 0, 0, 0
1697166042, 18, enp1s0f0, 819625881, 0, 2071242, 0, 0, 0, 0, 0
1697166043, 19, enp1s0f0, 874680029, 0, 2074669, 0, 0, 0, 0, 0
1697166044, 20, enp1s0f0, 923088951, 0, 2113344, 0, 0, 0, 0, 0
1697166045, 21, enp1s0f0, 955846873, 0, 2143383, 0, 0, 0, 0, 0
1697166046, 22, enp1s0f0, 1028056476, 0, 2136881, 0, 0, 0, 0, 0
1697166047, 23, enp1s0f0, 1139515024, 0, 2184080, 0, 0, 0, 0, 0
1697166048, 24, enp1s0f0, 542413904, 0, 1025697, 0, 0, 0, 0, 0
1697166049, 25, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166050, 26, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166051, 27, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166052, 28, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166053, 29, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166054, 30, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166055, 31, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166056, 32, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166057, 33, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166058, 34, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166059, 35, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166060, 36, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166061, 37, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166062, 38, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166063, 39, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166064, 40, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166065, 41, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166066, 42, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697166067, 43, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
