Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1693989484, 0, 12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 65.2, 16233024, 10130972, 5646632, 315012, 15.0, 2097148, 313600, 1783548, 0, 0, 0, 0, 0, 0
1693989486, 2, 12, 28.799999999999997, 2.5, 0.0, 2.0, 1.5, 5.5, 5.4, 1.0, 1.5, 2.5, 2.5, 3.6, 1.0, 65.2, 16233024, 10135228, 5644360, 312744, 15.0, 2097148, 313600, 1783548, 0, 3, 0, 16, 0, 25
1693989488, 4, 12, 16.799999999999997, 3.0, 1.5, 1.0, 1.0, 0.0, 2.6, 0.5, 0.0, 0.5, 0.0, 2.5, 2.5, 65.2, 16233024, 10137080, 5642600, 310980, 15.0, 2097148, 313600, 1783548, 0, 13, 0, 720, 0, 100
1693989490, 6, 12, 22.799999999999997, 2.5, 0.5, 2.0, 1.0, 3.5, 5.4, 2.0, 1.0, 1.5, 0.5, 0.5, 2.9, 65.2, 16233024, 10130756, 5648928, 317304, 15.0, 2097148, 313600, 1783548, 0, 71, 0, 316, 0, 151
1693989492, 8, 12, 15.600000000000001, 2.0, 1.5, 1.5, 2.5, 1.5, 0.5, 1.5, 4.0, 0.0, 1.0, 0.0, 1.0, 65.2, 16233024, 10131760, 5647924, 316300, 15.0, 2097148, 313600, 1783548, 0, 0, 0, 0, 0, 0
1693989494, 10, 12, 32.400000000000006, 2.5, 2.0, 3.0, 3.4, 2.5, 3.0, 2.0, 5.5, 1.0, 2.0, 0.5, 3.5, 65.3, 16233024, 10146088, 5633600, 301956, 15.0, 2097148, 313600, 1783548, 0, 23, 0, 136, 0, 139
1693989496, 12, 12, 19.200000000000003, 1.5, 1.0, 3.0, 2.5, 1.0, 2.5, 1.5, 1.0, 1.0, 1.0, 2.0, 1.5, 65.3, 16233024, 10148104, 5631584, 299940, 15.0, 2097148, 313600, 1783548, 0, 0, 0, 0, 0, 0
1693989498, 14, 12, 16.799999999999997, 1.0, 0.5, 2.5, 0.0, 1.0, 3.5, 0.5, 2.5, 0.0, 2.5, 1.0, 1.0, 65.3, 16233024, 10148584, 5631104, 299436, 15.0, 2097148, 313600, 1783548, 0, 28, 0, 224, 0, 159
1693989500, 16, 12, 14.399999999999999, 1.5, 0.5, 2.5, 1.5, 0.5, 2.5, 1.5, 1.0, 0.5, 0.5, 1.0, 0.0, 65.3, 16233024, 10148584, 5631104, 299436, 15.0, 2097148, 313600, 1783548, 0, 36, 0, 152, 0, 253
1693989502, 18, 12, 19.200000000000003, 1.5, 4.0, 1.5, 2.0, 1.0, 2.0, 2.5, 1.5, 1.0, 1.5, 1.0, 0.5, 65.3, 16233024, 10153864, 5625824, 294156, 15.0, 2097148, 313600, 1783548, 0, 0, 0, 0, 0, 0
1693989504, 20, 12, 15.600000000000001, 0.0, 0.5, 1.0, 2.0, 0.5, 1.0, 2.0, 1.5, 1.5, 2.5, 2.5, 0.5, 65.3, 16233024, 10154108, 5625572, 293904, 15.0, 2097148, 313600, 1783548, 0, 2, 0, 44, 0, 9
